"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.529476317E1,-4.039668274E1,2.006854248E1,4.221024036E0,4.530403313E1
1.530481217E1,-4.043611908E1,2.006684685E1,4.261056900E0,4.534219530E1
1.531486117E1,-4.043595123E1,2.004096222E1,4.197097301E0,4.532462845E1
1.532491117E1,-4.043225479E1,1.992040634E1,4.161777496E0,4.526488935E1
1.533496017E1,-4.039746094E1,1.992527390E1,4.120243549E0,4.523215446E1
1.534500917E1,-4.036515045E1,1.994107819E1,4.165731430E0,4.521443673E1
1.535505817E1,-4.041046906E1,1.998069382E1,4.224786758E0,4.527784180E1
1.536510717E1,-4.038724518E1,1.996129608E1,4.291284084E0,4.525481227E1
1.537515617E1,-4.037524033E1,1.991996956E1,4.335109234E0,4.523006070E1
1.538520579E1,-4.033997345E1,1.995727539E1,4.291398048E0,4.521086591E1
1.539525479E1,-4.036705780E1,2.000358772E1,4.271043301E0,4.525355995E1
1.540530379E1,-4.044618988E1,2.012444305E1,4.200310707E0,4.537102703E1
1.541535379E1,-4.047691345E1,2.017225647E1,4.151022911E0,4.541510151E1
1.542540279E1,-4.044118500E1,2.021479225E1,4.128928185E0,4.540016870E1
1.543545179E1,-4.046153641E1,2.030699921E1,4.092773914E0,4.545614308E1
1.544550079E1,-4.045289612E1,2.033464050E1,4.104228497E0,4.546184224E1
1.545554979E1,-4.042584610E1,2.028597260E1,4.156250477E0,4.542074565E1
1.546559879E1,-4.042282104E1,2.026016998E1,4.265774250E0,4.541669053E1
1.547564779E1,-4.039904404E1,2.028572464E1,4.264383316E0,4.540680949E1
1.548569679E1,-4.042798615E1,2.026012039E1,4.138442993E0,4.540948417E1
1.549574579E1,-4.047615051E1,2.019708443E1,4.084904194E0,4.541946083E1
1.550579579E1,-4.045300674E1,2.019563675E1,3.985646248E0,4.538936962E1
1.551584479E1,-4.048755264E1,2.027870178E1,3.958204269E0,4.545475823E1
1.552589379E1,-4.046504211E1,2.033938980E1,4.035985947E0,4.546866606E1
1.553594279E1,-4.053903961E1,2.038681412E1,4.023454189E0,4.555462771E1
1.554599179E1,-4.052906799E1,2.035053253E1,4.016733170E0,4.552893225E1
1.555604079E1,-4.053261566E1,2.028306198E1,4.042044640E0,4.550421585E1
1.556608979E1,-4.049150085E1,2.030849457E1,4.017482758E0,4.547677166E1
1.557613879E1,-4.046837616E1,2.022341537E1,4.041842937E0,4.542039732E1
1.558618879E1,-4.048539734E1,2.016635513E1,4.095256805E0,4.541497997E1
1.559623779E1,-4.045316315E1,2.017227554E1,4.090242386E0,4.538842575E1
1.560628679E1,-4.045974731E1,2.014649582E1,4.098475933E0,4.538358681E1
1.561633579E1,-4.044624329E1,2.017057419E1,4.175113201E0,4.538923032E1
1.562638479E1,-4.040550232E1,2.022249985E1,4.133121014E0,4.537220302E1
1.563643379E1,-4.040790558E1,2.024423218E1,4.103278160E0,4.538132503E1
1.564648279E1,-4.040407562E1,2.028661346E1,4.148349762E0,4.540093411E1
1.565653179E1,-4.039631653E1,2.021832466E1,4.184897900E0,4.536690877E1
1.566658079E1,-4.040167618E1,2.015480995E1,4.128897667E0,4.533827961E1
1.567662979E1,-4.038674164E1,2.006547356E1,4.190877914E0,4.529101000E1
1.568667979E1,-4.043345642E1,2.008885193E1,4.241146088E0,4.534769774E1
1.569672879E1,-4.047031784E1,2.009741592E1,4.285089970E0,4.538848697E1
1.570677779E1,-4.041928864E1,2.018807793E1,4.283514977E0,4.538310131E1
1.571682679E1,-4.039229584E1,2.018453979E1,4.195411205E0,4.534925231E1
1.572687579E1,-4.037578583E1,2.009407425E1,4.168731689E0,4.529187814E1
1.573692479E1,-4.037641144E1,2.003831863E1,4.135179996E0,4.526464987E1
1.574697379E1,-4.031332016E1,2.004281998E1,4.125510693E0,4.520949296E1
1.575702279E1,-4.028118515E1,2.005239868E1,4.104365349E0,4.518316484E1
1.576707179E1,-4.028333664E1,2.003395844E1,4.191646099E0,4.518491561E1
1.577712179E1,-4.032657623E1,2.008134460E1,4.120841026E0,4.523797611E1
1.578717079E1,-4.031349182E1,2.009164429E1,4.045552731E0,4.522408971E1
1.579721979E1,-4.035673904E1,2.005145836E1,4.068847656E0,4.524691028E1
1.580726879E1,-4.031092072E1,2.009677315E1,4.075215816E0,4.522673992E1
1.581731779E1,-4.033747101E1,2.006476212E1,4.069136143E0,4.523565093E1
1.582736679E1,-4.029494476E1,2.004272652E1,4.049918175E0,4.518622906E1
1.583741579E1,-4.032845306E1,2.002193832E1,4.057460308E0,4.520757818E1
1.584746479E1,-4.037441254E1,2.001880264E1,4.051463604E0,4.524665738E1
1.585751379E1,-4.038626099E1,2.006096458E1,4.115121841E0,4.528163650E1
1.586756379E1,-4.031897354E1,1.996906662E1,4.178977489E0,4.518680230E1
1.587761279E1,-4.024504852E1,1.999244690E1,4.261566639E0,4.513892792E1
1.588766179E1,-4.028612900E1,2.008159256E1,4.227436066E0,4.521187637E1
1.589771079E1,-4.032782745E1,2.011988068E1,4.141801357E0,4.525812396E1
1.590775979E1,-4.034291840E1,2.010850716E1,4.044968605E0,4.525776061E1
1.591780879E1,-4.031148529E1,2.006552505E1,4.013556004E0,4.520785080E1
1.592785779E1,-4.026353455E1,1.996199036E1,4.091048241E0,4.512615593E1
1.593790679E1,-4.027676392E1,1.995181274E1,4.122884274E0,4.513635694E1
1.594795579E1,-4.035810852E1,1.999858475E1,4.092210770E0,4.522683390E1
1.595800579E1,-4.035367584E1,2.005232811E1,4.108784199E0,4.524817261E1
1.596805479E1,-4.043003845E1,2.006855202E1,4.232889175E0,4.533488877E1
1.597810379E1,-4.042692566E1,2.003315163E1,4.240909576E0,4.531720199E1
1.598815279E1,-4.046353912E1,2.009469604E1,4.213992119E0,4.537458030E1
1.599820179E1,-4.042791367E1,2.014503670E1,4.114538670E0,4.535601543E1
1.600825079E1,-4.043505478E1,2.010974121E1,4.049479008E0,4.534086045E1
1.601829979E1,-4.048042297E1,2.025695038E1,3.908790588E0,4.543442887E1
1.602834879E1,-4.049784088E1,2.024876404E1,4.021256447E0,4.545611141E1
1.603839779E1,-4.052276611E1,2.017498016E1,4.040318966E0,4.544720646E1
1.604844779E1,-4.044794464E1,2.011616516E1,4.023421288E0,4.535288574E1
1.605849679E1,-4.047157288E1,2.013049316E1,4.004344940E0,4.537862652E1
1.606854579E1,-4.046483612E1,2.011526108E1,4.070436954E0,4.537174393E1
1.607859479E1,-4.047766876E1,2.012889481E1,4.105763435E0,4.539241531E1
1.608864379E1,-4.045349121E1,2.013957405E1,4.156556129E0,4.538021984E1
1.609869279E1,-4.038079834E1,2.013699341E1,4.229413033E0,4.532102506E1
1.610874179E1,-4.039363480E1,2.010816002E1,4.223175049E0,4.531908030E1
1.611879079E1,-4.038207245E1,2.014422989E1,4.183281422E0,4.532109461E1
1.612883979E1,-4.046092224E1,2.016707993E1,4.206628799E0,4.540366799E1
1.613888979E1,-4.045089722E1,2.019038391E1,4.272951603E0,4.541128498E1
1.614893879E1,-4.039836884E1,2.023897934E1,4.257125854E0,4.538466272E1
1.615898779E1,-4.042160034E1,2.023000336E1,4.261518002E0,4.540175487E1
1.616903679E1,-4.040142822E1,2.016219521E1,4.274579525E0,4.535484040E1
1.617908579E1,-4.039872742E1,2.012214470E1,4.234742165E0,4.533090475E1
1.618913479E1,-4.039667511E1,2.011862564E1,4.178484440E0,4.532229242E1
1.619918379E1,-4.043656540E1,2.013018036E1,4.205809593E0,4.536550250E1
1.620923279E1,-4.048423767E1,2.027477455E1,4.110910892E0,4.546360711E1
1.621928179E1,-4.045840836E1,2.020720482E1,4.072461605E0,4.540703554E1
1.622933079E1,-4.043559265E1,2.019978333E1,4.050701141E0,4.538145634E1
1.623938079E1,-4.038648987E1,2.009164429E1,4.033679008E0,4.528811434E1
1.624942979E1,-4.035677338E1,2.012185669E1,4.040219784E0,4.527561871E1
1.625947879E1,-4.041906738E1,2.020021820E1,4.068257809E0,4.536849728E1
1.626952779E1,-4.045336151E1,2.019359398E1,4.113734245E0,4.540020380E1
1.627957679E1,-4.043577957E1,2.018071556E1,4.210424900E0,4.538767705E1
1.628962579E1,-4.040369415E1,2.016520691E1,4.273519039E0,4.535809780E1
1.629967479E1,-4.043760300E1,2.012975883E1,4.200349331E0,4.536573444E1
1.630972379E1,-4.055612183E1,2.013203812E1,4.113013744E0,4.546443509E1
1.631977379E1,-4.052486801E1,2.016708183E1,4.071182728E0,4.544832941E1
1.632982279E1,-4.045525742E1,2.014688492E1,4.088281155E0,4.537883722E1
1.633987179E1,-4.048476410E1,2.022486115E1,4.124203205E0,4.544304330E1
1.634992079E1,-4.048440552E1,2.023857307E1,4.043616772E0,4.544158631E1
1.635996979E1,-4.050616074E1,2.026216888E1,4.089517593E0,4.547558355E1
1.637001879E1,-4.042203522E1,2.024149513E1,4.165195465E0,4.539832496E1
1.638006779E1,-4.038873291E1,2.023035049E1,4.185435295E0,4.536556729E1
1.639011650E1,-4.042152405E1,2.018778229E1,4.230191708E0,4.537995903E1
1.640016550E1,-4.045394135E1,2.013772202E1,4.206968307E0,4.538444448E1
1.641021450E1,-4.046763611E1,2.007906914E1,4.207595825E0,4.537072241E1
1.642026450E1,-4.046957779E1,2.005525970E1,4.238863468E0,4.536483365E1
1.643031350E1,-4.045005798E1,2.005420303E1,4.359029293E0,4.535834418E1
1.644036250E1,-4.042046356E1,2.009975815E1,4.361245632E0,4.535233859E1
1.645041150E1,-4.044401550E1,2.012491798E1,4.284361839E0,4.537715802E1
1.646046050E1,-4.042739105E1,2.016297150E1,4.255624771E0,4.537653258E1
1.647050950E1,-4.041078949E1,2.020836258E1,4.178893566E0,4.537480553E1
1.648055850E1,-4.038397217E1,2.014920044E1,4.196811199E0,4.532624748E1
1.649060750E1,-4.039351273E1,2.018609238E1,4.222367287E0,4.535352887E1
1.650065650E1,-4.039454651E1,2.024494934E1,4.212437153E0,4.537975306E1
1.651070650E1,-4.042360306E1,2.027094650E1,4.132544041E0,4.540987642E1
1.652075550E1,-4.043020248E1,2.024494362E1,4.076686382E0,4.539910117E1
