"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.062558400E2,3.595607758E0,2.524723625E1,4.456241608E1,5.134355130E1
1.062658890E2,3.608181000E0,2.521021843E1,4.450371933E1,5.127528759E1
1.062759380E2,3.571052551E0,2.518268776E1,4.447712326E1,5.123606808E1
1.062859870E2,3.606529236E0,2.519526482E1,4.456083298E1,5.131740697E1
1.062960370E2,3.599454880E0,2.517764473E1,4.453680420E1,5.128739414E1
1.063060860E2,3.617166519E0,2.514549255E1,4.463771439E1,5.136054162E1
1.063161355E2,3.589624405E0,2.519488525E1,4.462355804E1,5.137051274E1
1.063261845E2,3.554538727E0,2.524474716E1,4.454325867E1,5.132283992E1
1.063362345E2,3.550403595E0,2.528431702E1,4.436476135E1,5.118724551E1
1.063462835E2,3.589998245E0,2.526439285E1,4.443207169E1,5.123852679E1
1.063563325E2,3.623863220E0,2.524680138E1,4.451472473E1,5.130393827E1
1.063663815E2,3.685363770E0,2.517352676E1,4.457593536E1,5.132545537E1
1.063764315E2,3.632940292E0,2.520910645E1,4.463367844E1,5.138932334E1
1.063864805E2,3.597028732E0,2.522798920E1,4.477689362E1,5.152048385E1
1.063965295E2,3.593105316E0,2.523278427E1,4.480688477E1,5.154862491E1
1.064065785E2,3.574644089E0,2.525360107E1,4.471002960E1,5.147338336E1
1.064166285E2,3.611099243E0,2.522592545E1,4.463107300E1,5.139377423E1
1.064266775E2,3.572669983E0,2.525986862E1,4.458382034E1,5.136673992E1
1.064367265E2,3.546842575E0,2.521316910E1,4.473006439E1,5.146904554E1
1.064467755E2,3.566761017E0,2.517057037E1,4.491852570E1,5.161349967E1
1.064568255E2,3.563499451E0,2.520336533E1,4.477424622E1,5.150379866E1
1.064668745E2,3.539756775E0,2.527057457E1,4.455125427E1,5.134146545E1
1.064769235E2,3.585309982E0,2.525831985E1,4.459960175E1,5.138055708E1
1.064869725E2,3.658836365E0,2.525933075E1,4.478320694E1,5.154567389E1
1.064970225E2,3.636753082E0,2.522065735E1,4.477173615E1,5.151520055E1
1.065070715E2,3.561796188E0,2.537549782E1,4.471334076E1,5.153528038E1
1.065171205E2,3.509023666E0,2.541045189E1,4.467231750E1,5.151330181E1
1.065271695E2,3.487957001E0,2.538875580E1,4.460272980E1,5.144082300E1
1.065372195E2,3.426103592E0,2.543844795E1,4.459195328E1,5.145187185E1
1.065472685E2,3.418334961E0,2.539638519E1,4.464279175E1,5.147465638E1
