"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.939468958E0,1.198402405E0,2.337150764E1,-4.089120483E1,4.711426717E1
1.949517958E0,1.203660011E0,2.337355423E1,-4.079578400E1,4.703262513E1
1.959566958E0,1.274494171E0,2.338212776E1,-4.078471375E1,4.702915170E1
1.969615958E0,1.270039558E0,2.335345650E1,-4.097639465E1,4.718115990E1
1.979664958E0,1.224473953E0,2.339609909E1,-4.114675903E1,4.734905034E1
1.989713958E0,1.228949547E0,2.339780045E1,-4.106210327E1,4.727646040E1
1.999762958E0,1.197934151E0,2.345707703E1,-4.098320770E1,4.723656235E1
2.009811958E0,1.127300262E0,2.346112442E1,-4.087859344E1,4.714609811E1
2.019860958E0,1.198345184E0,2.344059563E1,-4.090904236E1,4.716404670E1
2.029909958E0,1.183580399E0,2.345825577E1,-4.094698334E1,4.720536061E1
2.039958958E0,1.144927025E0,2.346060562E1,-4.101929474E1,4.726831301E1
2.050007958E0,1.125290871E0,2.343032837E1,-4.105837250E1,4.728674782E1
2.060056958E0,1.113633156E0,2.340907097E1,-4.096675873E1,4.719639926E1
2.070105958E0,1.156468391E0,2.338570786E1,-4.099153137E1,4.720735531E1
2.080154958E0,1.181223869E0,2.342511368E1,-4.098148346E1,4.721878045E1
2.090204958E0,1.134399414E0,2.347358513E1,-4.100177765E1,4.725930418E1
2.100253958E0,1.131595612E0,2.341143799E1,-4.103138733E1,4.725410758E1
2.110302958E0,1.175553322E0,2.335163498E1,-4.102954102E1,4.722397715E1
2.120351958E0,1.146255493E0,2.336721039E1,-4.104077148E1,4.724071705E1
2.130400958E0,1.122306824E0,2.339581299E1,-4.108941650E1,4.729655153E1
2.140449958E0,1.129420280E0,2.337181473E1,-4.113973236E1,4.732858431E1
2.150498958E0,1.133333206E0,2.341485023E1,-4.121179199E1,4.741256642E1
2.160547958E0,1.177390099E0,2.334675598E1,-4.116178894E1,4.733656231E1
2.170596958E0,1.152072906E0,2.330926514E1,-4.117675018E1,4.733047505E1
2.180645958E0,1.143142700E0,2.337070847E1,-4.115737915E1,4.734370759E1
2.190694958E0,1.166198730E0,2.332507706E1,-4.110997772E1,4.728054047E1
2.200743958E0,1.182105064E0,2.324907303E1,-4.105496979E1,4.719562812E1
2.210792958E0,1.183259010E0,2.321090317E1,-4.104675293E1,4.716971543E1
2.220841958E0,1.147727966E0,2.321414375E1,-4.106433105E1,4.718572914E1
2.230890958E0,1.125695229E0,2.324649429E1,-4.115835571E1,4.728294546E1
2.240939958E0,1.133920670E0,2.323152161E1,-4.111936188E1,4.724183838E1
2.250988958E0,1.185810089E0,2.321614838E1,-4.109145355E1,4.721126186E1
2.261037958E0,1.216755867E0,2.325219345E1,-4.102047729E1,4.716804589E1
