"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.135620042E0,-1.957151222E1,-4.021644592E1,3.170550823E0,4.483814231E1
1.145670042E0,-1.956966019E1,-4.020106506E1,3.132936001E0,4.482089379E1
1.155719042E0,-1.957670784E1,-4.017257690E1,3.160720348E0,4.480037475E1
1.165769042E0,-1.958127975E1,-4.023979950E1,3.115958214E0,4.485952715E1
1.175819042E0,-1.961763000E1,-4.024073029E1,3.140671253E0,4.487796338E1
1.185869042E0,-1.961822891E1,-4.024959564E1,3.219685078E0,4.489177238E1
1.195918042E0,-1.964553642E1,-4.024889374E1,3.192963600E0,4.490117554E1
1.205968042E0,-1.966610336E1,-4.026554108E1,3.119688034E0,4.491994961E1
1.216018042E0,-1.963770103E1,-4.018708801E1,3.222740650E0,4.484448017E1
1.226068042E0,-1.961341858E1,-4.024308014E1,3.204924107E0,4.488277204E1
1.236117042E0,-1.960173798E1,-4.030734253E1,3.327887058E0,4.494424130E1
1.246167042E0,-1.961226463E1,-4.035071564E1,3.427527905E0,4.499521223E1
1.256217042E0,-1.964439583E1,-4.036460114E1,3.352457523E0,4.501602252E1
1.266266042E0,-1.965771103E1,-4.033986664E1,3.292361736E0,4.499522296E1
1.276312292E0,-1.962491035E1,-4.026486969E1,3.304534912E0,4.491454985E1
1.286362292E0,-1.959440804E1,-4.029293060E1,3.255766392E0,4.492283492E1
1.296412292E0,-1.956194115E1,-4.030265808E1,3.176608562E0,4.491174269E1
1.306461292E0,-1.961694145E1,-4.023954773E1,2.884105206E0,4.485937646E1
1.316511292E0,-1.964275742E1,-4.017879486E1,2.815320015E0,4.481182324E1
1.326561292E0,-1.965563965E1,-4.021017456E1,2.784892559E0,4.484370563E1
1.336611292E0,-1.962364388E1,-4.027619171E1,2.785860538E0,4.488897456E1
1.346660292E0,-1.960573959E1,-4.021299744E1,2.753551483E0,4.482245234E1
1.356710292E0,-1.964013672E1,-4.020622253E1,2.817951679E0,4.483543412E1
1.366760292E0,-1.968605804E1,-4.006864166E1,2.764922619E0,4.472898080E1
1.376809292E0,-1.969831085E1,-4.000862122E1,2.732888699E0,4.467865153E1
1.386859292E0,-1.969858742E1,-3.995964813E1,2.765787125E0,4.463695110E1
1.396909292E0,-1.975009155E1,-3.994178009E1,2.762280464E0,4.464350016E1
1.406959292E0,-1.970673180E1,-3.999996948E1,2.757079601E0,4.467610463E1
1.417008292E0,-1.965995026E1,-4.007536316E1,2.831902027E0,4.472771004E1
1.427058292E0,-1.967390442E1,-4.003081512E1,2.947173119E0,4.470139264E1
1.437108292E0,-1.965277100E1,-4.004627228E1,2.941566944E0,4.470557177E1
1.447158292E0,-1.964841461E1,-3.997785187E1,2.748898029E0,4.463009385E1
1.457207292E0,-1.964648628E1,-3.998756409E1,2.637866974E0,4.463124519E1
1.467257292E0,-1.965340424E1,-4.001803589E1,2.690548897E0,4.466473495E1
1.477307292E0,-1.963418579E1,-4.003241730E1,2.767163277E0,4.467385006E1
1.487357292E0,-1.960760498E1,-4.006748962E1,2.885509491E0,4.470109689E1
1.497406292E0,-1.961697006E1,-4.003816223E1,2.859645367E0,4.467725955E1
1.507456292E0,-1.965629005E1,-4.000453186E1,2.710267067E0,4.465509888E1
1.517506292E0,-1.968480492E1,-4.003516388E1,2.695107937E0,4.469417745E1
1.527555292E0,-1.973240471E1,-4.005893707E1,2.768602848E0,4.474093648E1
1.537605292E0,-1.972732925E1,-4.009424591E1,2.769478321E0,4.477037061E1
1.547655292E0,-1.968480682E1,-4.012576294E1,2.789038181E0,4.478110321E1
1.557705292E0,-1.966044617E1,-4.015177917E1,2.797192097E0,4.479422728E1
1.567754292E0,-1.962714005E1,-4.012097168E1,2.716791153E0,4.474704403E1
1.577804292E0,-1.962813950E1,-4.009237671E1,2.690808296E0,4.472027482E1
1.587854292E0,-1.957030869E1,-4.009229279E1,2.759727001E0,4.469904939E1
1.597904292E0,-1.955324936E1,-4.004412842E1,2.790050507E0,4.465026498E1
1.607953292E0,-1.957662201E1,-4.010839844E1,2.759023190E0,4.471621589E1
1.618003292E0,-1.960186386E1,-4.011865997E1,2.775899887E0,4.473751854E1
1.628053292E0,-1.963181877E1,-4.014939880E1,2.799041748E0,4.477965126E1
1.638103292E0,-1.963605499E1,-4.017166138E1,2.749989510E0,4.479843162E1
1.648152292E0,-1.963246727E1,-4.010533905E1,2.739030361E0,4.473672182E1
1.658202292E0,-1.964166451E1,-4.008934784E1,2.811373711E0,4.473091344E1
1.668252292E0,-1.965167236E1,-4.004528809E1,2.814235687E0,4.469600930E1
1.678302292E0,-1.963423729E1,-4.009838867E1,2.913326740E0,4.474227889E1
1.688351292E0,-1.964439392E1,-4.016086578E1,2.963754177E0,4.480603968E1
1.698401292E0,-1.963750458E1,-4.013005829E1,2.949637413E0,4.477447404E1
1.708451292E0,-1.966622925E1,-4.014105225E1,2.943872929E0,4.479655161E1
1.718500292E0,-1.963920975E1,-4.019509125E1,2.972218513E0,4.483500867E1
1.728550292E0,-1.962272263E1,-4.020738983E1,3.106769562E0,4.484793705E1
1.738600292E0,-1.965007973E1,-4.020031738E1,3.091695786E0,4.485253319E1
1.748650292E0,-1.963983154E1,-4.010267639E1,2.894509315E0,4.474735546E1
1.758699292E0,-1.963580322E1,-4.018672180E1,2.823989868E0,4.481642886E1
1.768749292E0,-1.958662415E1,-4.015702057E1,2.823524475E0,4.476823022E1
1.778799292E0,-1.965161705E1,-4.010809326E1,2.898122787E0,4.475761738E1
1.788849292E0,-1.966506004E1,-4.013178253E1,2.918765068E0,4.478608875E1
1.798898292E0,-1.966990089E1,-4.004483795E1,2.940326214E0,4.471173857E1
1.808948292E0,-1.965695763E1,-4.003931427E1,2.921464920E0,4.469986161E1
1.818998292E0,-1.965824127E1,-4.004626465E1,2.957763195E0,4.470903852E1
1.829048292E0,-1.963216782E1,-4.008425903E1,3.022531986E0,4.473595349E1
1.839097292E0,-1.962048912E1,-4.013814545E1,3.113382816E0,4.478534879E1
1.849147292E0,-1.964942169E1,-4.009958649E1,3.093283176E0,4.476209345E1
1.859197292E0,-1.964571381E1,-4.010610199E1,3.006555080E0,4.476039389E1
1.869247292E0,-1.966274643E1,-4.006075287E1,3.028548241E0,4.472873374E1
1.879296292E0,-1.968467712E1,-4.002229309E1,2.933201790E0,4.469758529E1
1.889346292E0,-1.975616455E1,-4.010733032E1,2.933737278E0,4.480525413E1
1.899396292E0,-1.977490616E1,-4.017756653E1,2.911839485E0,4.487496602E1
1.909446292E0,-1.975047302E1,-4.011078644E1,2.962053776E0,4.480770175E1
1.919495292E0,-1.979790115E1,-4.005517578E1,2.987075806E0,4.478053839E1
1.929545292E0,-1.980315781E1,-4.005199432E1,2.914237499E0,4.477521735E1
1.939595292E0,-1.980673981E1,-4.002384186E1,2.937585831E0,4.475314815E1
1.949644292E0,-1.981224442E1,-4.015368652E1,3.060901165E0,4.487998091E1
1.959694292E0,-1.980622482E1,-4.011491394E1,3.135786533E0,4.484780953E1
1.969744292E0,-1.975780296E1,-4.009220123E1,3.173648357E0,4.480878732E1
1.979794292E0,-1.976129150E1,-4.009487152E1,3.058617115E0,4.480471519E1
1.989843292E0,-1.975454330E1,-4.009429169E1,3.002016068E0,4.479739175E1
1.999893292E0,-1.978887558E1,-4.007166290E1,2.967273235E0,4.478998186E1
2.009943292E0,-1.975707817E1,-4.006097412E1,3.023765087E0,4.477015681E1
2.019993292E0,-1.973296547E1,-4.004890442E1,3.069501877E0,4.475183251E1
2.030042292E0,-1.977490616E1,-4.007685089E1,3.114939690E0,4.479847922E1
2.040092292E0,-1.979258728E1,-4.003099060E1,3.090779305E0,4.476359722E1
2.050142292E0,-1.978928947E1,-4.014115906E1,3.140480518E0,4.486414210E1
2.060192292E0,-1.982541084E1,-4.009725189E1,3.036373138E0,4.483364904E1
2.070241292E0,-1.985371399E1,-4.009590912E1,2.940613747E0,4.483858937E1
2.080291292E0,-1.983657455E1,-4.008691406E1,2.889574051E0,4.481963863E1
2.090341292E0,-1.986066818E1,-4.007341766E1,2.853073597E0,4.481590089E1
2.100391292E0,-1.979601288E1,-4.007722473E1,2.866362095E0,4.479154049E1
2.110440292E0,-1.978814697E1,-4.008241272E1,2.772871971E0,4.478682160E1
2.120490292E0,-1.981146240E1,-4.002920532E1,2.724540710E0,4.474655789E1
2.130540292E0,-1.984477615E1,-3.999736786E1,2.748980045E0,4.473434327E1
2.140590292E0,-1.982429314E1,-4.004396820E1,2.764526844E0,4.476789694E1
2.150639292E0,-1.980656624E1,-4.011617279E1,2.862698078E0,4.483082004E1
2.160689292E0,-1.984506416E1,-4.014868164E1,2.939018250E0,4.488185644E1
2.170739292E0,-1.982369995E1,-4.003240967E1,2.874732494E0,4.476423785E1
2.180789292E0,-1.987755775E1,-3.999106598E1,2.855912209E0,4.474995972E1
2.190838292E0,-1.984724617E1,-4.002165222E1,2.761372089E0,4.475791553E1
2.200888292E0,-1.981484604E1,-4.000286102E1,2.758677006E0,4.472658396E1
2.210938292E0,-1.979014397E1,-4.003203583E1,2.836428642E0,4.474660901E1
2.220988292E0,-1.984807587E1,-4.000486755E1,2.907068253E0,4.475250372E1
2.231037292E0,-1.985335159E1,-4.000564575E1,2.891357422E0,4.475452166E1
2.241087292E0,-1.980916977E1,-4.000659180E1,2.970360756E0,4.474096151E1
2.251137292E0,-1.985511208E1,-3.999118042E1,2.830818176E0,4.473850152E1
2.261187292E0,-1.975797272E1,-3.999338531E1,2.826777935E0,4.469719262E1
2.271236292E0,-1.970804787E1,-3.999136353E1,2.758887768E0,4.466909188E1
2.281286125E0,-1.966862106E1,-3.990146637E1,2.704906940E0,4.456790543E1
2.291336125E0,-1.970698166E1,-3.995797729E1,2.687109470E0,4.463435485E1
2.301386125E0,-1.974116135E1,-4.000537872E1,2.747704029E0,4.469556640E1
2.311435125E0,-1.978002357E1,-4.004605103E1,2.887874603E0,4.475796415E1
2.321485125E0,-1.970163918E1,-4.003343201E1,2.982293606E0,4.471827747E1
2.331535125E0,-1.968843460E1,-4.002619171E1,3.021555901E0,4.470861528E1
2.341585125E0,-1.967387962E1,-4.002510834E1,2.977997780E0,4.469831437E1
2.351634125E0,-1.971781158E1,-4.005628204E1,2.943233967E0,4.474327269E1
2.361684125E0,-1.969709778E1,-4.002040100E1,2.958785057E0,4.470304873E1
2.371734125E0,-1.971990967E1,-4.002817535E1,2.993404388E0,4.472236722E1
2.381784125E0,-1.967329788E1,-4.007885742E1,3.089166164E0,4.475373068E1
2.391833125E0,-1.962193298E1,-4.008850098E1,3.029191494E0,4.473571465E1
2.401883125E0,-1.968212318E1,-4.009692383E1,2.983478546E0,4.476662169E1
2.411933125E0,-1.971472168E1,-4.008029938E1,3.006294250E0,4.476760496E1
2.421983125E0,-1.968004990E1,-4.006761169E1,3.124447823E0,4.474907871E1
2.432032125E0,-1.964608002E1,-4.000038147E1,3.123995304E0,4.467391100E1
2.442082125E0,-1.963184929E1,-3.998786926E1,3.054561138E0,4.465164654E1
2.452132125E0,-1.965957642E1,-3.998955536E1,3.055354118E0,4.466540800E1
2.462182125E0,-1.966840553E1,-3.999214935E1,3.058254242E0,4.467181556E1
2.472231125E0,-1.967638779E1,-3.987920380E1,3.023712158E0,4.457189661E1
2.482281125E0,-1.971652794E1,-3.990630341E1,3.024960518E0,4.461395423E1
2.492331125E0,-1.969441795E1,-3.989350891E1,2.984184742E0,4.458999339E1
2.502381125E0,-1.966739464E1,-3.998049164E1,2.871628284E0,4.464854278E1
2.512430125E0,-1.968809700E1,-3.997026062E1,2.931353569E0,4.465238774E1
2.522480125E0,-1.967558479E1,-4.005425262E1,2.994864941E0,4.472628988E1
2.532530125E0,-1.971623230E1,-4.004714203E1,3.031803608E0,4.474030883E1
2.542580125E0,-1.963964462E1,-4.005130005E1,2.961145401E0,4.470559986E1
2.552629125E0,-1.964268112E1,-4.008682251E1,2.985190392E0,4.474035787E1
2.562679125E0,-1.966085815E1,-4.005224609E1,3.033754826E0,4.472063762E1
2.572729125E0,-1.967082214E1,-4.008922577E1,2.954059601E0,4.475280700E1
2.582779125E0,-1.967116928E1,-4.000110626E1,2.863567352E0,4.466814772E1
2.592828125E0,-1.971051216E1,-3.997735596E1,2.883386612E0,4.466550344E1
2.602878125E0,-1.972867393E1,-4.000228882E1,2.859161377E0,4.469427804E1
2.612928125E0,-1.972686768E1,-3.997275543E1,2.875310421E0,4.466808587E1
2.622978125E0,-1.970488167E1,-4.004388428E1,2.904816628E0,4.472396437E1
2.633027125E0,-1.972343636E1,-4.005301666E1,2.936138153E0,4.474236240E1
2.643077125E0,-1.967683411E1,-4.011679840E1,2.916266918E0,4.477767219E1
2.653127125E0,-1.967737770E1,-4.016751099E1,2.866434574E0,4.482013587E1
2.663177125E0,-1.972733307E1,-4.021579742E1,2.918642521E0,4.488871246E1
2.673226125E0,-1.972861481E1,-4.021146393E1,2.933196068E0,4.488634216E1
2.683276125E0,-1.981167793E1,-4.017685699E1,2.885803699E0,4.488886592E1
2.693326125E0,-1.981808281E1,-4.010686493E1,2.841019154E0,4.482620228E1
2.703376125E0,-1.976768303E1,-4.004851532E1,2.896945477E0,4.475530320E1
2.713425125E0,-1.969826889E1,-4.003862762E1,2.851416588E0,4.471290726E1
2.723475125E0,-1.972235107E1,-4.003866577E1,2.839855671E0,4.472282045E1
2.733525125E0,-1.967414474E1,-4.011711121E1,2.913163185E0,4.477656868E1
